,Timestamp,Object_List,Objects_Count,frisbee,clock,tv,bus,stop sign,person,chair,train,truck,car,airplane,traffic light,fire hydrant
87,1549644011505494,['car'],1,,,,,,,,,,1.0,,,
88,1549642929983320,['truck'],1,,,,,,,,,1.0,,,,
89,1549642941024098,['car'],1,,,,,,,,,,1.0,,,
90,1549643188207460,['car'],1,,,,,,,,,,1.0,,,
91,1549644360890213,"['car', 'car']",2,,,,,,,,,,2.0,,,
92,1549642955767657,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
93,1549644490958700,['airplane'],1,,,,,,,,,,,1.0,,
94,1549642933600110,"['car', 'car']",2,,,,,,,,,,2.0,,,
95,1549643007059827,"['truck', 'truck', 'car']",3,,,,,,,,,2.0,1.0,,,
96,1549643754848606,"['car', 'truck']",2,,,,,,,,,1.0,1.0,,,
97,1549642926364535,"['car', 'stop sign']",2,,,,,1.0,,,,,1.0,,,
98,1549644100642683,['car'],1,,,,,,,,,,1.0,,,
99,1549644060696444,"['car', 'traffic light', 'car']",3,,,,,,,,,,2.0,,1.0,
100,1549642863861631,['car'],1,,,,,,,,,,1.0,,,
101,1549643561105282,"['car', 'truck', 'car']",3,,,,,,,,,1.0,2.0,,,
102,1549642766385029,['car'],1,,,,,,,,,,1.0,,,
103,1549643795015559,['car'],1,,,,,,,,,,1.0,,,
104,1549644518737801,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
105,1549644472599577,['car'],1,,,,,,,,,,1.0,,,
106,1549642740934540,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
107,1549643712777925,['car'],1,,,,,,,,,,1.0,,,
108,1549644446787477,['car'],1,,,,,,,,,,1.0,,,
109,1549643553746839,['car'],1,,,,,,,,,,1.0,,,
110,1549642963195802,"['car', 'car', 'car', 'car']",4,,,,,,,,,,4.0,,,
111,1549643741990812,"['car', 'car']",2,,,,,,,,,,2.0,,,
112,1549642946453405,['car'],1,,,,,,,,,,1.0,,,
113,1549644581393095,"['car', 'car']",2,,,,,,,,,,2.0,,,
114,1549643846324133,"['car', 'car']",2,,,,,,,,,,2.0,,,
115,1549644024246182,"['car', 'car', 'car', 'truck']",4,,,,,,,,,1.0,3.0,,,
116,1549643037947815,"['car', 'car', 'airplane']",3,,,,,,,,,,2.0,1.0,,
117,1549642959452072,"['truck', 'car']",2,,,,,,,,,1.0,1.0,,,
118,1549643159079966,"['truck', 'car', 'car', 'car', 'car']",5,,,,,,,,,1.0,4.0,,,
119,1549644426274730,"['car', 'car']",2,,,,,,,,,,2.0,,,
120,1549644572151725,"['car', 'car', 'car', 'car']",4,,,,,,,,,,4.0,,,
121,1549643362623406,"['car', 'person', 'car']",3,,,,,,1.0,,,,2.0,,,
122,1549644237913802,"['car', 'car', 'car', 'car']",4,,,,,,,,,,4.0,,,
123,1549643131391934,['car'],1,,,,,,,,,,1.0,,,
124,1549643811436479,"['car', 'car']",2,,,,,,,,,,2.0,,,
125,1549643225194433,"['car', 'car']",2,,,,,,,,,,2.0,,,
126,1549644126232517,"['car', 'truck']",2,,,,,,,,,1.0,1.0,,,
127,1549643329447878,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
128,1549643895701448,"['car', 'car', 'car', 'car']",4,,,,,,,,,,4.0,,,
129,1549642865674185,"['car', 'car']",2,,,,,,,,,,2.0,,,
130,1549643210289100,"['car', 'truck']",2,,,,,,,,,1.0,1.0,,,
131,1549643313041358,"['car', 'car']",2,,,,,,,,,,2.0,,,
132,1549643764078544,['car'],1,,,,,,,,,,1.0,,,
133,1549643990804434,"['car', 'car']",2,,,,,,,,,,2.0,,,
134,1549642919002068,['car'],1,,,,,,,,,,1.0,,,
135,1549643518763728,"['truck', 'truck']",2,,,,,,,,,2.0,,,,
136,1549643446781910,['car'],1,,,,,,,,,,1.0,,,
137,1549642906040280,['car'],1,,,,,,,,,,1.0,,,
138,1549643941273561,"['stop sign', 'car', 'stop sign']",3,,,,,2.0,,,,,1.0,,,
139,1549643928530906,"['car', 'car']",2,,,,,,,,,,2.0,,,
140,1549643245344732,"['stop sign', 'person']",2,,,,,1.0,1.0,,,,,,,
141,1549643406546911,"['car', 'truck']",2,,,,,,,,,1.0,1.0,,,
